brand_id,review_id,avg_rating,is_product_recommended,review_content,is_anonymous,display_name,rating_packaging,rating_price,rating_quality,rating_service,rating_shipping,rating_taste,sentiment_score
00411460f7c92d2124a67ea0f4cb5f85,2598,5.0,True,basically stick peanut butter one flavor theyre terrible peanut butter one bestseller big bag small bag doesnt matter one sold took little sell peanut butter cup sometimes would get two case every week go fast seller would love get promo price customer complaint sometimes big bag maybe little bit pricey sell 899 maybe cost price could go little bit would appealing,False,Snacks,5.0,5.0,5.0,5.0,5.0,5.0,1
00411460f7c92d2124a67ea0f4cb5f85,3718,5.0,True,carry currently stock selling well much need place new order selling quickly right moment one flavor available get approval additional flavor open exploring option,True,Snacks,5.0,5.0,5.0,5.0,5.0,5.0,5
00411460f7c92d2124a67ea0f4cb5f85,3719,4.0,True,carry whim chocolate havent ordered recently melt summer heat well bring back fall weather cooler sold really well planning place order fall chocolate popular quality isnt good meltsn,True,Snacks,4.0,4.0,4.0,4.0,4.0,4.0,3
00411460f7c92d2124a67ea0f4cb5f85,2004,5.0,True,good flavor selling fast tried time customer seem like packaging nice salesman good guy,False,Snacks,5.0,5.0,5.0,5.0,5.0,5.0,4
00411460f7c92d2124a67ea0f4cb5f85,3717,4.0,True,still carry whim selling well among flavor peanut butter cup popular sell fastestnnnnnnn,True,Snacks,4.0,4.0,4.0,4.0,4.0,4.0,5
00411460f7c92d2124a67ea0f4cb5f85,3716,4.0,True,peanut butter cup market continue really well weve carried flavor brand currently offer peanut butter cup weve caramel cookie bar another item peanut butter cup stand bestnnive tried personally really enjoy themtheyre one favorite item right size peanut butter cup fine id suggest increasing quantity bag currently five cup would better least eight overall product excellent,,Snacks,4.0,4.0,4.0,4.0,4.0,4.0,5
00411460f7c92d2124a67ea0f4cb5f85,3131,5.0,True,love sharing whim customer taste smooth milky surprisingly dairy free great able offer customer great vegan chocolate cute packaging,False,Snacks,5.0,5.0,5.0,5.0,5.0,5.0,5
00411460f7c92d2124a67ea0f4cb5f85,2604,5.0,True,little island middle two major city spring starting come summer going come quite yet getting another order right going hold like like theyre good quality owner prefers nice good quality product something thats right alley little island middle nowhere people source couple year business getting people know store come know,False,Snacks,5.0,5.0,5.0,5.0,5.0,5.0,3
00411460f7c92d2124a67ea0f4cb5f85,2603,5.0,True,well selling well everythings good put shelf sell good seemed hit customer really bad feedback,False,Snacks,5.0,5.0,5.0,5.0,5.0,5.0,4
00411460f7c92d2124a67ea0f4cb5f85,2601,5.0,True,well little one really well u individual cup package nice price little high everything expensive nowadays everything good could bring price little bit would,False,Snacks,5.0,5.0,5.0,5.0,5.0,5.0,4
